FSAgent,5.3.0
XDR,0.0.0
Wazuh,4.9.2-1
OTX,0.0.0
Google Chrome,131.0.6778.109
Google Drive,100
1Password,8.10.54
Slack,4.41.104
Gather,1.21.1
Grammarly Desktop,1.98.2
Adobe Acrobat Reader,24.004.20272
Zoom,6.2.10 (43047)
ChatGPT,1.2024.332
Keka,1.4.5
AppCleaner,3.6.8
Cyberduck,9.0.2
Forklift,4.1.9
GitHub,3.4.9
Postman,11.20.0
Sublime Text,Build 4180
Visual Studio Code,1.95.3
Android Studio,Not Installed
Brave Browser,131.1.73.97
Nextcloud,3.14.3daily
Spotify,1.2.52.442
VLC,3.0.21
WhatsApp,24.23.82
WPS Office,Not Installed
Xcode,Not Installed
SurfShark,4.16.0
